latitude,longitude,title,minwage
-25.2744,133.775,Australia,12.41
50.5039,4.4699,Belgium,10.97
56.1304,-106.3468,Canada,10.46
-35.6751,-71.543,Chile,3.37
4.5709,-74.2973,Colombia,2.76
9.7489,-83.7534,Costa Rica,3.67
49.8175,15.473,Czech Republic,5.95
58.5953,25.0136,Estonia,5.68
46.2276,2.2137,France,12.14
51.1657,10.4515,Germany,11.79
39.0742,21.8243,Greece,5.77
47.1625,19.5033,Hungary,5.58
53.1424,-7.6921,Ireland,10.13
31.0461,34.8516,Israel,6.93
36.2048,138.2529,Japan,7.89
35.9078,127.7669,Korea,8.74
56.8796,24.6032,Latvia,4.41
55.1694,23.8813,Lithuania,6.70
49.8153,6.1296,Luxembourg,12.43
23.6345,-102.5528,Mexico,1.38
-52.1326,5.2913,Netherlands,11.24
40.9006,174.886,New Zealand,11.57
51.9194,19.1451,Poland,7.74
39.3999,8.2245,Portugal,6.54
48.669,19.699,Slovak Republic,2.90
46.1512,14.9955,Slovenia,8.53
40.4637,-3.7492,Spain,10.63
38.9637,35.2433,Turkey,6.74
55.3781,-3.436,United Kingdom,10.94
37.0902,-95.7129,United States,7.25
-14.235,-51.9253,Brazil,2.18
61.524,105.3188,Russian Federation,2.53